Headline,Published Date,Year_Month
"Mukesh Ambani’s children will get no salary, only fee for attending board meetings - The Indian Express",2023/09/26,2023/09
Reliance-Dharma deal: Game-changer for entertainment? - ET BrandEquity,2024/10/21,2024/10
Reliance Industries stock in bear grip but CLSA sees 30% upside on this key growth trigger. Time to buy? - Mint,2024/11/14,2024/11
Reliance acquires step-down subsidiary for Rs 314 cr - The Economic Times,2024/05/08,2024/05
"Reliance Industries Ltd Share Price Highlights: Stock gained 1.11% during today's trading session; Check price range, day's high and low - India Today",2024/02/14,2024/02
Mukesh Ambani in search of MD for Reliance Industries; family member ruled out - Business Today,2020/01/09,2020/01
[The Turning Point] From a Google-backed company to being acquired by Reliance - the journey of Fynd - YourStory.com,2020/02/23,2020/02
Reliance Industry releases 'Naye India Ka Naya Josh' campaign - ET BrandEquity,2020/05/30,2020/05
Mukesh Ambani's Children Get Shareholders' Approval For Reliance Board - NDTV,2023/10/27,2023/10
A week in telecoms: India’s Reliance targets Africa - TMForum - Inform,2024/05/31,2024/05
"Reliance Industries raises Rs 20,000 crore through 10-year bonds at 7.79% - Business Standard",2023/11/09,2023/11
Reliance Will Buy Big Bazaar & Entire Future Group To Become India’s #1 Retail Company! - Trak.in,2020/07/01,2020/07
What Reliance’s push towards green hydrogen power means for India’s EV ecosystem - Moneycontrol,2021/06/25,2021/06
Reliance and Jio Financial Services: How shareholders got a premium for holding same RIL shares indirectly - BusinessLine,2023/07/21,2023/07
Baseless Speculation On Relocating To London: Reliance Snubs Reports On Mukesh Ambani - The New Indian,2021/11/06,2021/11
Reliance Industries and Rosneft ink largest-ever India-Russia oil supply agreement: Report - Business Today,2024/12/12,2024/12
"SEBI Imposes Rs70 Crore Penalty on Reliance Industries, Mukesh Ambani for Fraudulent Trading in F&O of RPL in 2007 - Moneylife",2021/01/02,2021/01
RIL's $4-bn forex bond: India Inc's fundraising in 2022 begins with a bang - Business Standard,2022/01/08,2022/01
"Freshpik, a first-of-its-kind experiential gourmet food superstore, launched at Jio World Drive in Mumbai The ultra-premium brand from Reliance Retail offers an exquisite range of the best and finest food products through seamless and intuitive shopping conce - Facebook",2021/10/14,2021/10
"RIL shares rise 38% from October 2023 low; buy, sell or hold? - Business Today",2024/06/27,2024/06
Confident that Mumbai Police will complete probe quickly: Reliance after explosives threat near Mukesh Ambani’s house - Mint,2021/02/26,2021/02
"Over 41,000 Reliance Jio employees resigned in FY23, annual reports reveal - India Today",2023/08/08,2023/08
"Reliance and Adani are getting into diagnostics. So are Apollo Hospitals, Tata 1mg and many others. But why? - Business Today",2022/10/23,2022/10
RIL board approves 1:1 bonus issue for shareholders - Moneycontrol,2024/09/05,2024/09
"Comments of Sh Mukesh D. Ambani, Chairman and Managing Director, Reliance Industries Limited on #RILResults Q1 FY2020-21 - Facebook",2020/07/30,2020/07
Global investors reached conclusion that RJio is king of Indian Telecom: Bernstein - MorungExpress,2020/06/17,2020/06
"RIL's revamp paves way for O2C stake sale, next leg of growth: Analysts - Business Standard",2021/02/24,2021/02
"The Ambanis’ wealth, ranked – who runs what and what are they worth? - South China Morning Post",2021/03/23,2021/03
UTL Neolync lands JioPhone Next production deal for initial lot; Jio likely to place 5 million unit order - ET Telecom,2021/08/24,2021/08
Reliance Industries in talks to bring British fashion retailer Primark to India - The Economic Times,2024/02/28,2024/02
Reliance Industries Ltd readies $2.4-3 billion InvIT for retail warehousing assets - The Economic Times,2023/04/12,2023/04
Reliance Jio’s New Android Phone Will Cost Rs 4000; 20 Crore Handsets Will Be Sold! - Trak.in,2020/09/23,2020/09
'Pay Rs 200 cr or...': Mukesh Ambani gets two death threats - Times of India,2023/10/29,2023/10
Reliance acquires 73.37% in New York’s Mandarin Oriental hotel - The Indian Express,2022/01/09,2022/01
Reliance Retail’s Tira launches its own skincare brand Akind - India Retailing,2024/06/12,2024/06
How the Reliance family came together to fight COVID-19 in India - Vogue India,2020/06/10,2020/06
In green energy push Reliance to buy 20% stake in solar tech company - theweek.in,2022/09/23,2022/09
Applications Open For Reliance Foundation Scholarships: NURTURING 100 of India's Brightest Students To Create Tech For Social Good • First-year undergraduate and postgraduate students from institutes across India pursuing degree programmes in Artifici - Facebook,2021/12/20,2021/12
"Reliance stock gains as Akash takes driver's seat at Jio, brokerages upbeat - Business Standard",2022/06/29,2022/06
RIL shares down 15% in 2 months but analyst sees up to 28% upside potential; here’s why’ - Fortune India,2024/12/03,2024/12
​Mukesh Ambani’s Reliance to develop India's first multimodal logistics park in Chennai​ - Times Now,2022/11/12,2022/11
Ambri delivering liquid metal battery system to Reliance in pilot project - Energy-Storage.News,2022/10/19,2022/10
Reliance Industries seeks CCI approval for Viacom18-Star India merger - The Hindu,2024/05/25,2024/05
"Reliance spends $13 billion on acquisitions in 5 years, focus on energy and technology - Times of India",2024/12/31,2024/12
"Sh Kiran Thomas, Director Jio, talks about the creation of Jio at Facebook Fuel For India 2020: “We were all sitting across a roundtable when the chairman narrated his vision for Jio and his mission of getting 100 million customers within the very first year. For t - Facebook",2020/12/16,2020/12
Amazon Vs Future Feat. Reliance: Everything You Need To Know Explained In 6 Points - Inc42,2021/04/22,2021/04
"Mukesh Ambani’s Jio Infocomm may see public listing first, says report - Mint",2024/05/28,2024/05
What Ambani's Post-Transition RIL Conglomerate Will Look Like - Swarajyamag,2022/06/30,2022/06
Share prices of Future group firms rise on hopes of deal with RIL - Business Standard,2020/08/27,2020/08
"Reliance Industries to acquire 13.01% stake of Paramount global in Viacom18 for ₹4,286 crore - CNBC TV18",2024/03/14,2024/03
"Reliance Industries Q3: Net profit at Rs 18,549 crore, beats Street estimates; Jio ARPU rises to Rs 151.6/mont - CNBC TV18",2022/01/21,2022/01
Jio announces free domestic voice calls from January 1 as IUC regime ends - The Hindu,2020/12/31,2020/12
"India going to be epicentre of global growth, transformation: Mukesh Ambani - ET Telecom",2021/03/26,2021/03
RIL’s FMCG push may  spur  price  war - Mint,2023/03/26,2023/03
Reliance’s retail arm acquires 96 per cent stake in Urban Ladder for Rs 182 crore - The Tribune,2020/11/15,2020/11
Reliance continues to be India's most visible corporate in media: Wizikey - Business Standard,2023/12/20,2023/12
"Reliance to restructure EPC operations, merge group with self to synergize capabilities - The Economic Times",2022/10/21,2022/10
Vista Equity Partners to invest $1.5B in India’s Reliance Jio Platforms - TechCrunch,2020/05/07,2020/05
Reliance Retail acquires majority stake in Netmeds’ parent in Rs 620 Cr cash deal - Entrackr,2020/08/19,2020/08
"Stocks To Watch: Coal India, ONGC, Reliance Industries, OIL, Vedanta, Power Grid Corp - financialexpress.com",2024/09/24,2024/09
Reliance-backed AI platform Netradyne secures $65 mn from Silicon Valley Bank - Mint,2022/09/08,2022/09
"A small mysterious fund topped India’s MF charts in the past year, here’s why - Mint",2021/05/28,2021/05
"Once listed, LIC will be officially bigger than Reliance, TCS - Business Today",2020/02/01,2020/02
Which are India's biggest tax paying companies? Find out here - Business Today,2022/10/20,2022/10
"Meet Anant Ambani, the youngest son of Mukesh Ambani and chairman of Reliance Industries; Know about his life, education, business and family wealth - financialexpress.com",2024/05/16,2024/05
"Reliance Industries AGM 2022 | RIL to set up 20,000MTPA carbon fibre plant in Hazira - Moneycontrol",2022/08/29,2022/08
"Stock Market Latest Updates: Sensex surges over 600 points, Nifty above 9,050-level; HDFC, Tata Steel among major gainers - Firstpost",2020/05/20,2020/05
Reliance Industries Limited - Facebook,2021/12/07,2021/12
Reliance’s new bets in the e-tailing game - The New Indian Express,2020/08/25,2020/08
Reliance Industries: 8 Key reasons why Jefferies has raised earnings estimates and sees more upside for the stock price - Mint,2024/02/20,2024/02
"Reliance to take on ITC, Patanjali, Tata, Adani with FMCG brand 'Independence' - Deccan Herald",2022/12/18,2022/12
"Reliance Industries shares fall 4% in market crash, turnover soars - Business Today",2024/11/04,2024/11
"Reliance, Viacom18 announce a partnership with Bodhi Tree Systems - The Hans India",2022/04/28,2022/04
Jio Financial Services seeks RBI approval to convert from NBFC to CIC; here’s what it means - Mint,2023/11/23,2023/11
RIL to build global economic hub in Navi Mumbai - BusinessLine,2024/06/04,2024/06
"Stocks to watch on Feb 26: Reliance, HDFC Bank, Infibeam, Paytm, Skipper - Business Standard",2024/02/26,2024/02
Mukesh Ambani's Reliance-Disney Star deal explained: 10 points on mega-merger - Hindustan Times,2023/12/25,2023/12
Reliance Industries: A generational leap - India Today,2022/01/07,2022/01
Reliance Jio and Times Internet apps most downloaded in 2019 - Entrackr,2020/04/21,2020/04
"CSIR-IIIM, RIL to Develop New COVID-19 Diagnostic Test - EE Times India",2020/05/28,2020/05
Reliance Jio Acquires 100% Stake in Reliance Infratel: Report - outlookbusiness.com,2022/12/23,2022/12
Reliance-Future deal gets 'conditional' approval from market regulator Sebi - India Today,2021/01/21,2021/01
From Range Rover To Jaguar: Famous Foreign Brands Owned By Indian Businessmen - Indiatimes,2022/02/13,2022/02
Mukesh Ambani receives third threat email with ₹400 crore demand - Hindustan Times,2023/10/31,2023/10
"Reliance-Disney deal may add Rs 35 to RIL share price target, hit ZEE hard - Business Today",2024/02/29,2024/02
Reliance to set up a Fuel Cell Giga Factory in India - Team-BHP,2021/06/24,2021/06
Reliance Industries Ltd. And Amazon Head To Court Over World’s Biggest Online Market - The Indian Wire,2020/11/03,2020/11
ICN Compendium 2023 - Indian Chemical News,2021/03/18,2021/03
"Reliance, Birla, Piramal, JSW fortify succession plans, follow 'continuity with change' - CNBC TV18",2023/09/01,2023/09
TCS 2nd Indian company to hit $200 billion mcap after RIL - Times of India,2021/09/16,2021/09
Brokerages bullish on RIL post Q4 earnings’ - Fortune India,2024/04/23,2024/04
"Jio Platforms gets Rs 43,574 crore from Facebook for 9.99% stake sale - Business Standard",2020/07/08,2020/07
How Mukesh Ambani is aiming to strengthen his businesses for the next decade—from telecom to retail and financial services - Forbes India,2023/04/24,2023/04
The brewing battle between India’s two luxury conglomerates - Vogue Business,2021/02/08,2021/02
"With Jio stake sale, RIL struck more sale deals in Q1 than in last 11 years - Business Standard",2020/06/22,2020/06
Shaadi.com’s Anupam Mittal Raises Concern Over 42000 Layoffs in Reliance Industries in FY24 - outlookbusiness.com,2024/08/12,2024/08
Reliance Retail Ventures Limited (RRVL) is informed of an interim order passed by the Emergency Arbitrator in the arbitration proceedings invoked by Amazon under a shareholders’ agreement with the promoters of Future group. RRVL has entered into the tra - Facebook,2020/10/25,2020/10
The Outline By Inc42+: A Startup Called Jio - Inc42,2020/07/18,2020/07
"Sensex slips 557 pts from day's high, ends 83 pts up; pharma, PSBs decline - Business Standard",2020/06/08,2020/06
"Reliance-Disney offer concessions for $8.5 billion India merger deal, but cricket broadcast rights remain a hurdle - Mint",2024/08/22,2024/08
"Reliance returns to oil indexation for KG gas, seeks buyers for 4 mmscmd - The Economic Times",2023/11/05,2023/11
Mukesh Ambani’s Reliance Industries Limited may sell 8-10% stake in Reliance Retail Ventures Ltd: Report - Mint,2023/08/25,2023/08
"Throwback: How Dhirubhai Ambani started Reliance, India’s largest listed company - Times Now",2022/01/23,2022/01
"Reliance Jio buys spectrum worth Rs 973.63 crore in Bihar, West Bengal - Business Standard",2024/06/26,2024/06
Reliance Industries In Talks For USD 3 Billion Loan To Support Growth Plans - Goodreturns,2024/12/10,2024/12
Mukesh Ambani makes succession clear to shareholders at Reliance AGM - Business Standard,2022/08/30,2022/08
"Saudi Arabia's Public Investment Fund to buy 2.32% stake in Jio Platforms for Rs 11,367 cr - ET Telecom",2020/06/18,2020/06
A 14-Year ‘Timeline’: Facebook’s Roller-Coaster India Journey - The Quint,2020/04/25,2020/04
Authum Investment acquires Reliance Commercial Finance for Rs 1 crore - Business Standard,2022/10/14,2022/10
Reliance Industries  set  to  take on Chinese solar PV makers - Mint,2021/10/15,2021/10
"RIL shares: CLSA on what stock market is ignoring, Reliance Jio IPO & 70% upside - Business Today",2024/11/13,2024/11
Will Reliance Industries Follow The Jio Financial Services Playbook For Other Businesses? - NDTV Profit,2023/04/03,2023/04
"RIL Q4 Results: Reliance's Q4 numbers in line with estimates, records highest ever quarterly PAT of ₹19,299 cr | Company Business News - Mint",2023/04/21,2023/04
Reliance Industries' market cap nears $200 bn-mark as shares surge 4.4% - Business Standard,2020/07/24,2020/07
"Brookfield-led team completes Rs 25,000 crore deal to buy out Reliance Jio's tower arm - Business Today",2020/09/01,2020/09
"Reliance Retail acquires majority stake in Just Dial for Rs 3,497 cr - India Shipping News",2021/07/17,2021/07
"Reliance Industries Q3 Preview: Profit, Revenue Seen Rising, Operating Numbers Could Fall - NDTV Profit",2024/01/18,2024/01
Reliance to open Armani Cafe in India - Inside Retail Asia,2020/02/03,2020/02
"Reliance Appears To Have Acquired Milkbasket, Two RIL Directors Join Company’s Board - OfficeChai",2021/08/23,2021/08
"Biyani to stick on with home retailing, keep running it as independent biz - Business Standard",2020/09/04,2020/09
"Reliance’s promoter firms exchange shares worth over ₹11,000 cr in open market - Mint",2020/03/25,2020/03
"Block KG-D6 Integrated Development, Bay of Bengal - Offshore Technology",2021/02/12,2021/02
Reliance takes over Faradion for £100 million - electrive.com,2022/01/18,2022/01
Ajay Sardana | Chairman-NECCP; President & Head-Petchem Industry Affairs | RIL - Fibre2Fashion,2024/05/21,2024/05
"Reliance Acquires Metro AG’s India Business for Rs 2,850 Crore - Adda247",2022/12/28,2022/12
"RIL’s retail arm to acquire Future Group’s key businesses for ₹24,713 crore - Mint",2020/08/29,2020/08
"Jio-bp, Mahindra Group sign MoU to boost EV, green solutions - ET EnergyWorld",2021/12/09,2021/12
"Reliance, Tata Among TIME's Most Influential Companies - Rediff MoneyWiz",2024/05/30,2024/05
"Meet our Chancellor. We are delighted to announce Dr. R.A. Mashelkar as the chancellor of Jio Institute. Prior to joining Jio, Dr. Mashelkar was the longest serving (1995-2006) Director General of Council of Scientific and Industrial Research (CSIR), also Chair - Facebook",2020/10/02,2020/10
Covid-19 impact: Mukesh Ambani's net worth drops 28% to $48 bn in 2 months - Business Standard,2020/04/07,2020/04
"RIL Q2 results: Net profit slips 5% to Rs 16,563 crore on weak fuel biz - Business Standard",2024/10/14,2024/10
"Sensex, Nifty close higher for second session; auto, banking shares shine - Business Today",2022/04/21,2022/04
"Mukesh Ambani in no mood to rest; trying to get more investors for Jio, talks on with rich Saudi wealth fund - financialexpress.com",2020/05/09,2020/05
Name changed: Reliance Strategic Investments is now Jio Financial Services - The Economic Times,2023/07/26,2023/07
"From Reliance, TCS to Adani: Top stocks to move into T+1 this week. What faster settlement means - Mint",2023/01/25,2023/01
Ambani’s ambition to turn Reliance into internet titan wins backing - Financial Times,2020/05/17,2020/05
"Viacom18 completes partnership deal with Reliance, Bodhi Tree Systems & Paramount Global - CNBC TV18",2023/04/13,2023/04
Reliance Industries' new business gets fizz from Campa Cola - The Economic Times,2024/04/22,2024/04
Anil Ambani vs Chinese banks: court case exposes stunning decline - Financial Times,2020/03/16,2020/03
"My father founded Reliance with Rs 1,000: Mukesh Ambani - Business Today",2020/02/24,2020/02
"Sensex, Nifty End At Day’s High; Reliance Industries Gains 7% - NDTV Profit",2020/09/10,2020/09
Reliance takes steps to expand its pharma biz - Mint,2021/05/04,2021/05
Reliance becomes first Indian company to hit Rs 20 lakh crore valuation - Deccan Herald,2024/02/13,2024/02
"Mukesh Ambani's Reliance Industries net profit rises 11% to Rs 19,641Cr in Q3 - Indian Startup News",2024/01/20,2024/01
How the Facebook-Reliance combine and the farm laws pave the way for digital colonisation - The Caravan,2021/07/13,2021/07
Dhirubhai Ambani Birth Anniversary 2023: 5 unknown facts about business tycoon - Mint,2023/12/28,2023/12
Ambani reshapes Reliance for digital India with Jio deals - Nikkei Asia,2020/06/05,2020/06
"Reliance Industries Share Price Today on : Reliance Industries share are down by -2.09%, Nifty down by -0.28% - Mint",2024/10/15,2024/10
"Reliance Q4 preview: Revenue, EBITDA seen rising on robust digital, retail growth; O2C rebound likely - Moneycontrol",2024/04/19,2024/04
Reliance Jio building largest international submarine cable system centred on India - Mint,2021/05/17,2021/05
Govt loses challenge to $111 million arbitration award in dispute with Reliance/Shell - The Economic Times,2022/06/12,2022/06
Mukesh Ambani: India's richest man strengthens his lead with $92.7 billion net worth - Forbes India,2021/11/08,2021/11
Energy giant cancels investment in Indian refinery / Disagreement on valuation / Reliance to focus on “green” energy - Plasteurope.com,2021/12/02,2021/12
"Nita Ambani-backed Reliance Foundation to set up 1,000-bed facility in Jamnagar, provide free Covid treatm - The Economic Times",2021/04/29,2021/04
Reliance Industries chairman Mukesh Ambani continues this 'Covid times salary trend' - Times of India,2024/08/18,2024/08
Mumbai: Tardeo RTO earns more than Rs 32 lakh after registration of Rolls Royce Cullinan bought by Reliance - Free Press Journal,2022/02/05,2022/02
"RIL's new energy business will be 10x by 2050, says Bernstein - Moneycontrol",2023/06/13,2023/06
Forest Essentials and RIL partner to recycle plastic waste packaging - Packaging Gateway,2020/09/28,2020/09
Moody's assigns Baa2 rating to Reliance Industries' $5 bn bonds issue - Business Standard,2022/01/04,2022/01
"MARKETS: Sensex pares gains, ends just 62 pts higher; YES Bank surges 36% - Business Standard",2020/03/11,2020/03
Reliance acquires 79.4 pc stake in US-based SaaS startup SenseHawk - YourStory.com,2022/09/06,2022/09
Reliance Industries shares set to close the year with negative returns for the first time in 10 years - financialexpress.com,2024/12/16,2024/12
Mukesh Ambani's Reliance to renovate London's iconic Hamleys toy store - Business Today,2020/08/26,2020/08
"‘No negotiations to take over JBF Industries, assets’: RIL denies acquisition reports - Business Today",2021/09/23,2021/09
Reliance Industries allots Bonus Shares - Business Standard,2024/10/29,2024/10
Reliance Industries Notches 6% Higher; Will It Break All-Time High? - Investing.com India,2022/05/20,2022/05
India’s Reliance Jio Platforms to sell $1.2 billion stake to Mubadala - TechCrunch,2020/06/04,2020/06
Reliance Industries spins off oil-to-chemical business into new unit - Business Standard,2021/01/24,2021/01
"Natural gas price increase negative for GAIL, IGL, marginal beneficiary is RIL - ET EnergyWorld",2022/10/03,2022/10
Reliance Industries: M&E revenue 2023 - Statista,2024/03/21,2024/03
"Adani, Ambani, Tata, Jindal to invest ₹4 lakh crore in renewable power ’ - Fortune India",2022/07/12,2022/07
Mukesh Ambani top-ranked Indian in Forbes billionaires' list 2020: Check full list - Jagran Josh,2020/04/09,2020/04
RIL-Jio Financial demerger: Cost of acquisition of RIL share implied at 95.32% - Moneycontrol,2023/07/20,2023/07
"Reliance Industries shareholders, creditors pass resolution for demerger of financial services arm - CNBC TV18",2023/05/04,2023/05
"Mukesh Ambani Opens Up On His New Role As The Grandfather Of Prithvi Ambani, Says 'Family First' - BollywoodShaadis",2021/12/28,2021/12
Anand Pillai joins TIL Group as Chief Transformation Officer - ETHRWorld.com,2022/09/17,2022/09
Reliance's JioMart goes live on WhatsApp in select areas. Here is how it works - theweek.in,2020/04/27,2020/04
Reliance Industries to double its PET recycling facility to 5 billion post-consumer bottles - Moneycontrol,2021/08/04,2021/08
"In FY22, Reliance Spends ₹1,185 Crore on Corporate Social Responsibility - Tatsat Chronicle",2022/05/31,2022/05
"After Facebook, Silver Lake to invest Rs 5,656 cr in Reliance Jio Platforms - Business Standard",2020/05/04,2020/05
What is Mukesh Ambani's Succession Plan for Reliance? - marketfeed,2022/01/03,2022/01
"Akash Ambani’s Reliance Jio, Isha’s Retail Q3 revenue jump over 17%; what led growth, what are future plans - financialexpress.com",2023/01/20,2023/01
JNK India secures major contract from Reliance Industries for Gas Cracker Unit Project - Machine Maker,2024/06/17,2024/06
"Reliance Industries Share Price Today on : Reliance Industries share are down by -0.91%, Nifty down by -0.9% - Mint",2024/10/25,2024/10
Reliance General Insurance gets Rs 922-cr show cause notice by GST authority - The Economic Times,2023/10/08,2023/10
"RIL sells another 2.32% in Jio, this time to Vista Equity for Rs 11,367 cr - Business Standard",2020/05/08,2020/05
Mukesh Ambani becomes richest Asian again as stock meltdown wipes billions off Gautam Adani’s net worth - financialexpress.com,2023/02/02,2023/02
Shein is about to return to India in a big way - CNN,2023/05/26,2023/05
Reliance Industries extends last date for paying call money on partly paid shares to October 7 - Moneycontrol,2024/09/13,2024/09
"Jio to command Rs 9,35,000 cr valuation at listing! What Jefferies says on IPO prospects, RIL - Business Today",2024/07/11,2024/07
Former Amul Managing Director R S Sodhi Joins Reliance Industries’ Retail Unit: Report - outlookbusiness.com,2023/04/05,2023/04
Reliance on the backfoot after Supreme Court stays a Gujarat High Court order - Mint,2024/07/29,2024/07
Reliance Industries-Disney Star merger: Is a bumpy road ahead for beleaguered Zee? - Business Today,2024/01/23,2024/01
